Class Index,Title,Description
4, Famitsu Reveals All,"Popular Japanese gaming magazine, Famitsu, seems to have gathered the juiciest bits of gossip regarding Nintendo in its latest issue."
4,"Seas Only Hope for World Water Supply, Says Spain (Reuters)","Reuters - The world's fast-growing thirst for\water can only be met by purifying sea water as rivers and\reservoirs become unable to meet demand, Spain said on Thursday\unveiling a major program to fight its own chronic shortages."
4,Apple iPod Photo and U2 Partnership,"At a press conference this week, Apple Computer Inc. introduced the new iPod Photo digital music player. Besides playing digital music, the iPod Photo lets users view and share photos."
2,National pride buoys underdog Finns for final,TORONTO - Signs of national pride were laid out carefully across Finland #39;s dressing room yesterday. A pair of Finnish flags hung from the ceiling and two more were fastened to the walls.
3,U.S. Oil Holds Above  #36;46 on Supply Fears (Reuters),Reuters - U.S. oil prices held above  #36;46 a\barrel on Tuesday on worries of a major supply disruption at a\time when producers are pumping at full tilt to meet strong\demand.
3,"HBOS #39;s Crosby Shuns Abbey, Gives Santander 18 Million Clients","James Crosby, chief executive of HBOS Plc, said yesterday he decided not to bid for Abbey National Plc, HBOS #39;s largest mortgage-banking rival, because cold analysis in the head #39; #39; told him not to."
4,BigFix eases enterprise deployment of SP2,"BigFix, an enterprise security vendor, announced yesterday that its BigFix Enterprise Suite  quot;supports and simplifies quot; the deployment of Windows XP Service Pack 2 (SP2). "
4, quot;Blog quot; heads top 10 words of year,Editors of Merriam-Webster announced the most requested definition on the company #39;s Internet sites during 2004 was a four-letter word -- BLOG.
1,Bird flu jumps outside quarantine zone in Malaysia for 1st time,"A Malaysian state near the border with Thailand faces a quarantine to stop the spread of potentially deadly bird flu, which has spread inexorably since first being discovered in this country a month ago, a news report said "
2,Aussies cant wait to face Black Caps,"London: Australian cricketers are hungry for some action and ravenous to get stuck into New Zealands one-day team at The Oval, captain Ricky Ponting said on Wednesday."
3,Before the Bell- Rouse Co. shares jump 32 percent,"NEW YORK, Aug 20 (Reuters) - Shares of The Rouse Co. (RSE.N: Quote, Profile, Research) jumped before the bell after General Growth Properties Inc. (GGP.N: Quote, Profile, Research) , the No. 2 US shopping mall owner, on Friday said it would buy Rouse for ..."
1,Tokyo Stocks Seen Moving Little (Reuters),Reuters - Japanese stocks will probably move little\on Monday as soaring oil prices and caution ahead of the U.S.\presidential election next month and its possible impact on\financial markets make investors nervous about trading\actively.
2,Lions defenders get after Warner,"Like a big, real-life Buddha, he slumped on the stool in front of his locker stall espousing to his audience how it was that a Detroit Lions team that entered this "
4,Linksys and Intel Team On Smart Wireless Solutions,"Intel Smart Wireless Solutions is being delivered in conjunction with Intel #39;s new Wi-Fi client software, Intel PROSet/Wireless version 9.0, also announced today, and will work with new Intel Centrino mobile technology notebooks and select Linksys wireless "
3,The Tax Man May Take a Bite (Reuters),"Reuters - Stocks may come under pressure next\week as investors sell shares at year's end to prepare for tax\season. But crude oil prices, earnings outlooks and moves in\the dollar will also be closely watched."
4,Last Chance Until 2007: Total Lunar Eclipse Tonight!,Skywatchers on half the planet are gearing up to watch Earth #39;s shadow consume a blood-red Moon tonight in the last total lunar eclipse until 2007.
3,"China Pledges Stable Economic, Yuan Policies (Update1)",China #39;s government said it would continue measures to slow economic growth and reaffirmed its commitment to a stable yuan policy as the nation #39;s leaders wrapped up their annual meeting in Beijing.
1,Grenades kill 18 at Dhaka rally,"Police and paramilitary are patrolling the streets of the Bangladeshi capital after several grenades exploded near former Prime Minister Sheikh Hasina as she spoke at a party rally Saturday, killing at least 18 people and "
4,Bush can #39;t hide from UK surfers,Surfers that have been unable to visit the official re-election site of President George W Bush all week can access the site through an alternative address.
4,China aims for five days in orbit,\China's second manned space flight  will carry two astronauts into space and will orbit the Earth for five days.
3,"For Merck, a Painful Withdrawal",The two Merck  amp; Co. executives were somber as the company plane pitched and rolled through the remnants of Hurricane Jeanne on the night of Sept.
3,"Asian Stocks Gain, Led by Aluminum Corp.; BHP, Rio Tinto Climb",Asian stocks rose after comments by Vice Premier Huang Ju increased optimism that China won #39;t adopt new measures to slow economic growth.
4,KDDI to offer music downloads for mobile phones (FT.com),"FT.com - KDDI, Japan's second largest telecoms group, on Wednesday announced that its mobile arm, au, would launch the world's first service offering music downloads directly onto mobile phones."
3,Smart Money (Forbes.com),Forbes.com - Why not take advantage of all the information available on how mutual fund managers are investing money? A year ago we offered a template to copycat the best pros. The idea was simple: take the portfolios of the longtime star fund managers and see which stocks they have in common. The thesis was that stocks liked by an assortment of smart guys must be stocks worth holding.
1,Singapore will not change  quot;one-China quot; policy: PM,"Singapore #39;s new Prime Minister Lee Hsien Loong has stressed that Singapore will not change its long-held quot;one-China quot; policy, and if Taiwan provokes a conflict, Singapore will not support Taiwan."
3,Mass. fund to rehire Putnam,The state yesterday rehired the poster child for the mutual fund scandal and fired the industry #39;s current golden child. The Massachusetts state pension fund 
4,HP Targets China #39;s PC Market,Hewlett-Packard has begun selling a Pavilion PC that runs on processors from Advanced Micro Devices and a FreeDOS operating system.
2,Austrian Allen wins women #39;s triathlon gold :,"Olympics 2004 Athens  gt; Athens, Aug 25 : Kate Allen of Austria Wednesday pulled off an upset win in the women #39;s triathlon at the Olympic Games, reports Xinhua."
3,Tenet Says 4th-Quarter Loss to Widen From 3rd Quarter (Update2),"Tenet Healthcare Corp., the second- largest US hospital chain, said fourth-quarter charges may exceed \$1 billion and its loss from continuing operations will widen from the third quarter #39;s because of increased bad debt."
3,Zurich Financial Underwriters Plead Guilty in Probe (Update4),"Two underwriters at Zurich Financial Services AG, the third-biggest US commercial insurer, pleaded guilty to charges they helped rig bids to help an insurance broker give business to favored clients."
2,Cal #39;s Arrington has record-tying 11th 100-yard game,California running back JJ Arrington needed less than three quarters to tie a 23-year-old Pac-10 Conference record against Southern Miss Saturday night at Roberts Stadium.
3,Delta #39;s debt plan raises concerns; US Airways labor deal due,Delta Air Lines #39; plan to restructure some of its debt outside of bankruptcy has raised concerns among credit analysts who believe the move could be tantamount to defaulting on the money the struggling carrier owes. 
1,Bush has been adroit at exploiting 9/11: Carter (AFP),"AFP - US President George W. Bush  quot;has been adroit quot; at exploiting the suffering caused by the September 11 attacks, his predecessor Jimmy Carter said in an interview with the Guardian."
4,Japan Digs Out Amid Big Quake's Aftershocks,"Thousands of residents of northern Japan camped outdoors, unnerved by a day of aftershocks from the nation's deadliest earthquake in a decade."
3,Hurricane Ivan Uproots Oil Rigs," NEW YORK (Reuters) - Hurricane Ivan, which left a swath of  death and destruction across the Caribbean, wrought havoc on  oil drilling operations in the Gulf of Mexico before rampaging  across the Florida and Alabama coast on Thursday."
3,Judge Will Mull Voiding UAL Union Deals," CHICAGO (Reuters) - A federal bankruptcy judge agreed on  Friday to consider a motion by United Airlines &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=UALAQ.OB target=/stocks/quickinfo/fullquote""&gt;UALAQ.OB&lt;/A&gt; to  cancel its union contracts to save \$725 million annually."
2,Paris is favorite for 2012,"The five cities looking to host the 2012 Summer Olympics submitted bids to the International Olympic Committee, with Paris the front-runner to win next year #39;s vote."
4,Handango Answers Preminet Call,Handango has signed on as a  quot;key content provider quot; of mobile content and applications on Nokia #39;s recently announced Preminet platform.
1,Text Message Leads Police to Killers (AP),"AP - A Belgian teenager fired off a mobile phone text message to her father that his live-in girlfriend was trying to kill her in a plea for help just before she died, authorities said."
3,Reilly won't pursue Kohl's over pricing practices,"Attorney General Thomas F. Reilly concluded that Kohl's Department Stores violated a state law that prohibits false advertising of sale prices, but he decided not to prosecute the company because the retailer convinced him the case was not worth pursuing."
1,UN paying attention to Arafat #39;s health: spokesman,"The United Nations is closely following the situation in the West Bank city of Ramallah, where Palestinian leader Yasser Arafat is reportedly ill, a UN spokesman said Thursday."
4,CA gives anti-spyware a consumer face,Revamp of tools picked up from PestPatrol results in three products--two for businesses and its first for home users.\
3,Oracle makes  #39;final offer #39; for PeopleSoft,"ORACLE chief executive Larry Ellison has increased his companys offer for rival software company PeopleSoft, and set a deadline for the first time since the hostile takeover bid began in June 2003."
3,Update 1: Defendants Accused of Sending Spam,Three people who allegedly sent America Online customers millions of junk e-mail messages touting penny stocks and other Internet gimmicks went on trial Tuesday in the nation #39;s first such felony case.
1,Ferdinand to repay Ferguson debt of honour (AFP),AFP - Rio Ferdinand plans to repay a debt of honour to Manchester United manager Sir Alex Ferguson for standing by him when he returns from his eight month ban for missing a drugs test against Liverpool on Monday.
2,News and notes,"Somehow, somewhere, Nicolas Massu of Chile summoned the strength and the shots to win his second gold medal of these Olympics. That #39;s twice as many medals as the star-studded US tennis team, led by Andy Roddick and Venus Williams, managed to win."
3,Slowing exports hit German growth,Germany's economy expands just 0.1 in the third quarter as weak exports offset a growth in domestic demand.
2,BUTTON OPTIMISTIC DESPITE SIXTH SPOT,Jenson Button is optimistic he can help BAR close in on second in the constructors #39; championship despite a disappointing qualifying for the Italian Grand Prix at Monza today.
1,Radical Cleric Accepts Najaf Peace Plan,"NAJAF, Iraq - Radical Shiite cleric Muqtada al-Sadr accepted a peace plan Wednesday that would disarm his militia and remove them from their hideout in a revered shrine, raising hopes of resolving a crisis that has angered many of Iraq's majority Shiites and threatened to undermine the fledgling interim government.    But al-Sadr has made contradictory statements in the past, and aides to the cleric said he still wanted to negotiate details of the deal to end two weeks of fighting between his forces and U.S.-led troops..."
3,White House Sees 2005 Economic Growth Slowing to 3.5 (Update2),"US economic growth will slow to 3.5 percent in 2005 from 3.9 percent this year, generating average monthly gains in payrolls of about 175,000 jobs, according to President George W. Bush #39;s administration."
4,NASA Sets New Space Shuttle Launch Planning Window,"After an extensive review, NASA is planning its Return to Flight Space Shuttle mission, designated STS-114, for a launch window that opens in May 2005."
2,"For Statham, Sweet Vindication","By the time Joel Statham walked into the Gossett Team House cafeteria around 8 pm last night, the delirious crowd had dispersed from the Byrd Stadium field."
2,St. Louis defenders didn't know what hit them,ST. LOUIS -- It seems most everyone on the St. Louis sideline figured out the Patriots were up to something when they lined up for a field goal midway through the third quarter. The problem was they couldn't get the message to the 11 Rams on the field at the time.
1,Darfur clashes block access to refugees,"Clashes between Sudanese army and rebel forces in Darfur are stopping aid agencies assessing the needs of some of the more than one million displaced people there, the United Nations says."
2,Kite increases lead in Sonoma,"SONOMA, California (Ticker) - It wasn #39;t pretty, but it was enough to stay atop the leaderboard. Tom Kite increased his lead at the \$2."
3,Infineon to invest \$1bn in Malaysia to produce chips for cars,"LONDON, December 9 (newratings.com) - Infineon Technologies (IFX.ETR) announced yesterday its plans to invest about \$1 billion in Malaysia to build a factory to manufacture chips used in cars and industrial power applications."
1,S.C. Candidates Pledge to Fully Arm GIs (AP),"AP - The two candidates vying to fill South Carolina's open Senate seat both pledged Sunday to fully arm American troops in Iraq, as the Army investigates the refusal of a South Carolina-based platoon to go on a convoy mission because their trucks were unarmored."
2,German goalkeeper battle escalates,"BERLIN - Jens Lehmann wore the wrong gloves and is not available for Germany #39;s Asian tour in December. Oliver Kahn, by contrast, has the right gloves, can play in December and will be made fit like never before by Sepp Maier."
2,Jones was  #39;drug cheat #39;,"MARIO JONES received illegal performance-enhancing drugs before winning five medals at the Sydney Olympics, according to accused steroid distributor Victor Conte."
3,Sprint in Talks to Buy Nextel for \$36 Bln," PHILADELPHIA/NEW YORK (Reuters) - Sprint Corp. is close to  an agreement buy Nextel Communications Inc. for more than \$36  billion in a mostly stock deal that would combine the No. 3 and  No. 5 U.S. wireless telephone companies, sources familiar with  the situation said on Friday."
2,No winners in blame game,"The National Hockey League stumbles into a new era tonight when the clock strikes 12. Away go the sticks and pucks, and out come the sticks and stones."
4,This week in travel tech,"The Segway coast to coast? Sure--it works, as long as you don't mind taking your time."
2,Bears nab giant surprise,"Somewhere in the recesses of first-year coach Lovie Smith #39;s wish list for his Chicago Bears (3-5), he had Sunday #39;s 28-21 win over the New York Giants in mind."
2,ATP Plans 'Safe Supplements'," LONDON (Reuters) - Tennis chiefs will next year offer  professional players on the men's tour a range of ""safe  supplements,"" the BBC reported Wednesday."
4,"Supreme Court passes on RIAA, network-sharing cases","The U.S. Supreme Court declined Tuesday to hear appeals in two cases concerning the right of the entertainment industry to subpoena file-traders and whether telecommunication companies have to share their networks with startup competitors.&lt;p&gt;ADVERTISEMENT&lt;/p&gt;&lt;p&gt;&lt;img src=""http://ad.doubleclick.net/ad/idg.us.ifw.general/sbcspotrssfeed;sz=1x1;ord=200301151450?"" width=""1"" height=""1"" border=""0""/&gt;&lt;a href=""http://ad.doubleclick.net/clk;9228975;9651165;a?http://www.infoworld.com/spotlights/sbc/main.html?lpid0103035400730000idlp""&gt;SBC Case Study: Crate   Barrel&lt;/a&gt;&lt;br/&gt;What sold them on improving their network? A system that could cut management costs from the get-go. Find out more.&lt;/p&gt;"
2,New department for Bruins strength coach,"For months, he's been a man without a team. Bruins strength and conditioning coach John Whitesides filled up some of the time helping defenseman Hal Gill rehabilitate from a broken foot suffered during the World Cup of Hockey. Now that Gill is healthy, Whitesides is working with the Wilmington Fire Department."
2,"For once, a U.Va. sparring partner that punches back","CHARLOTTESVILLE - Dragging into town with but a single victory to show for its season, Clemson was supposed to represent just another sparring partner for Virginia as the Cavaliers trained for their featured bout at Florida State two Saturdays from now."
4,IBM Claims Computer Speed Title (washingtonpost.com),"washingtonpost.com - IBM Corp. plans to announce today that it has built the world's fastest supercomputer at one of its facilities in Rochester, Minn., wresting the title from a system in Japan."
2,"Buy Now, Buy Often, but Make a Good Deal",Baseball's winter meeting will run through the weekend and could lead to any number of trades and free-agent signings.
3,Tokyo Stocks Lower,"Tokyo #39;s Nikkei average fell 0.14 percent by midday on Thursday with losses in shippers, steel makers and several technology shares overshadowing gains in select small-cap "
3,U.S. Stocks Climb as Oil Prices Drop, NEW YORK (Reuters) - The biggest one-day drop in oil prices  since September 2001 helped send U.S. stock prices higher on  Wednesday.
3,Defense Stocks Rise on Bush Election Win,"Defense stocks soared to 52-week highs Wednesday morning as George W. Bush was poised to make a speech accepting re-election, a situation promising continued spending on overseas warfare."
1,UN Challenges Israel on UNRWA Terror Link Claims,"Israel is holding 25 UN employees in the Palestinian West Bank or Gaza but has not charged any with a crime or even told the United Nations of their detention, UN officials said on Wednesday."
1,"One dead, four missing as Typhoon Megi hits S.Korea","SEOUL, Aug. 19 (Xinhuanet) -- One died and four others went missing as Typhoon Megi hit South Korea #39;s southern provinces with strong winds and heavy rains, reported South Korean Yonhap News Agency on Thursday. "
1,Open letter to the IPC,Taiwan first lady Wu Shu-hen (  ) has demonstrated outstanding strength in the past few days in standing up to protect the nation #39;s dignity and integrity.
4,Peru Seizes Cocaine Haul Hidden in Giant Squid (Reuters),"Reuters - Peruvian police said on Monday they\seized nearly 1,540 pounds (700 kg) of cocaine hidden in frozen\giant squid bound for Mexico and the United States."
1,Four dead in Argentine high school rampage,"A high school student wielding a 9mm pistol shot and killed four classmates and wounded five more today in Argentina #39;s worst school rampage, police said."
4,Superconductors take an odd turn,Physicists in the US and Japan have seen the best evidence to date for a new form of superconductivity. Ying Liu and co-workers at Pennsylvania State University and Kyoto University have observed  quot;odd-parity quot; superconductivity in strontium ruthenate.
4,Europe uses grid to create new megacomputer,"If the new grid computer were considered a single supercomputer, it would rank behind supercomputers BlueGene/L and Columbia in the U.S. and the Earth Simulator in Japan."
1,A lordly ruling,It is a high tribute to the legal systems of the United States and Britain that they have not blindly followed their governments in accepting the threat of terror as a reason to subvert fundamental democratic values.
2,Mitchell Switches Loyalties to Oklahoma (AP),"AP - If not for a technicality, Oklahoma linebacker Lance Mitchell might've been lining up against the Sooners in the Orange Bowl instead of for them."
3,Re-Fighting Vietnam,The most contentious issue of the upcoming presidential election so far is history. Whoever expected that wed be re-fighting thirty and forty year old arguments about the Vietnam War?
3,Martha Stewart Begins Serving Sentence,"One precaution TV icon Martha Stewart must take when serving her sentence at the Alderson, West Virginia, prison is refrain from doing any business."
2,HLRadzinski scores for Fulham; Cole strikes for Arsenal in Premier &lt;b&gt;...&lt;/b&gt;,LONDON (CP) - Canadian Tomasz Radzinski scored his first goal for Fulham and Arsenal stayed atop the English Premier League with a 1-0 win at Manchester City on Saturday.
3,Unemployment rate dropped slightly last month to 7.1 per cent &lt;b&gt;...&lt;/b&gt;,"OTTAWA (CP) - The economy created another 43,000 jobs last month, pushing the unemployment rate down to 7.1 per cent from 7.2 per cent in August, Statistics Canada said Friday."
3,Merck knew of Vioxx health risks: report,"WHITEHOUSE STATION, NJ - Merck and Co. shares fell more than 10 per cent in trading on the NYSE on Monday amid reports that company documents showed the pharmaceutical firm knew for years about health issues related to its arthritis drug Vioxx."
1,Britain to Charge Cleric,"Risking a showdown with American prosecutors, the British authorities are planning to bring terrorism charges next week against an Egyptian-born "
3,Growth is prime on agenda for Ipswich bank,"With \$3.9 million in new capital, First National Bank of Ipswich is pushing farther into New Hampshire and may add an investment arm to the \$330 million-asset community bank. And with a new ticker symbol of FIWC, First National is now publicly traded on the Over the Counter Bulletin Board."
1,S Korea in 'rogue' nuclear trials,"The BBC is told that South Korean scientists engaged in secret, illegal experiments to enrich nuclear fuel."
1,Guerrillas Kill Two U.S. Soldiers in Iraq's Mosul," BAGHDAD (Reuters) - Guerrillas attacked a U.S. patrol in  Mosul on Saturday, killing two American soldiers and wounding  four, the U.S. military said on Sunday."
1,Ex-colleague backs Scrafton on PM #39;s call,A FORMER senior Defence Department bureaucrat last night backed her former colleague Michael Scrafton #39;s version of a phone call with John Howard over the children overboard affair. 
3,Evesham e-box Media Center 2005 PC,"Review Evesham #39;s first attempt at a Media Center PC, the eMedia, was, to be honest, far from perfect. But the UK PC maker learned from the mistakes it made, and went back to the drawing board."
1,Blunkett investigator to be named,An independent investigator who will study claims that Home Secretary David Blunkett abused his position is to be named.
2,Rural Colorado Braces for Bryant Trial Media Glare,"Description: Jury selection in the Kobe Bryant sexual assault trial is underway in Eagle, Colo. The celebrity trial has stirred up a legal and media frenzy that #39;s descended upon the rural county seat located high in the Rocky Mountains."
1,Snipers stall Fallujah blitz; Allawi #39;s kin kidnapped,"FALLUJAH, Iraq - Advances in Fallujah slowed considerably yesterday after American-led troops took control of about half of the city."
4,Minniapple's Mini Radio Stations,The Walker Art Center wants to put the 'public' back in the public airwaves. It's distributing tiny radio-transmitter kits so people can broadcast from their own personal radio stations. Michelle Delio reports from Minneapolis.
2,"Thousands protest Iraq war, Powell visit","ATHENS -- In the first major public demonstration since the start of the Olympics, thousands of protesters clashed with police who stopped them from marching on the United States Embassy to protest the war in Iraq and Secretary of State Colin Powell's scheduled visit to Greece."
3,Martha Stewart headed for prime-time TV show,"Martha Stewart Living Omnimedia Inc., whose founder will begin serving a prison sentence Oct. 8, said it agreed to work with television producer Mark Burnett to create a prime-time TV series featuring Martha Stewart."
1,GOP Convention Protests Mostly Peaceful (AP),AP - Tens of thousands of protesters made a sweaty but jubilant five-hour march through the streets of Manhattan on the eve of the Republican National Convention for a demonstration that wound up being largely peaceful despite fears of violent skirmishes with police.
3,Amcast sells aluminum castings business to Park-Ohio,"Amcast Industrial Corp. has sold its Automotive Components Group, including its operations in Cedarburg, to Park-Ohio Holdings Corp."
2,Five Pacers Charged in Basketball Brawl (AP),AP - Five Indiana Pacers players were charged Wednesday for fighting with fans in the stands and on the court at the end of a game against the Detroit Pistons last month.
2,San Diego Chargers,Martin rushed for 119 yards and two touchdowns to become the New York Jets  #39; all-time leading rusher as the Jets posted a 34-28 victory over the San Diego Chargers .
1,International Briefs,"SRINAGAR, India - A roadside bomb killed 10 Indian soldiers and their civilian driver yesterday in Indian-controlled Kashmir in separatist guerrillas #39; most devastating attack since India #39;s government began withdrawing troops from the disputed region last "
1,VIEW: Arafats ghost Barry Rubin,"Rarely in history has a political movement been so deliberately set by its founder on a course towards chaos. Arafat not only left no successor, but also no order."
1,Schroeder #39;s party halts slump,"German Chancellor Gerhard Schroeder #39;s party has halted an 18-month run of poll disasters by avoiding a fresh slump in local elections on Sunday, but will still need to make giant leaps to win a third term in 2006."
3,Fed chairman makes no comments on monetary policy,"WASHINGTON (CBS.MW) -- US banks have learned painful lessons from crises and competition and have adapted to succeed in today #39;s economy, Alan Greenspan told an audience of bankers on Tuesday."
1,Wrecked Roads Blocking Aid Distribution,U.N. relief officials warned Monday that people affected by the south Asia earthquake and tsunami may be dying of hunger and disease because wrecked roads and bad communications are blocking the distribution of supplies.
1,Judge Says Milosevic Behavior Almost  #39;Puerile #39;,A top judge accused Slobodan Milosevic of behavior verging on the  quot;puerile quot; Tuesday after wrangling with the court about its decision to force him to accept defense lawyers because of his ill health.
4,White House Creates Cabinet-Level Ocean Policy Panel (Reuters),Reuters - The Bush administration created on\Friday a cabinet-level committee to address rising pollution\and overfishing in U.S. territorial ocean waters.
2,Red Sox Look to Reverse the Curse with Game Seven Win (Reuters),Reuters - When the Boston Red Sox and New York\Yankees meet in Game Seven of the American League Championship\Series on Wednesday the result could produce the greatest\comeback in Major League history.
2,Notebook: Guerrero earns MVP,Vladimir Guerrero had such a powerful presence during the final week of the season that voting for the American League Most Valuable Player Award wasn #39;t close.
1,Susilo well ahead in Indonesian presidential race: opinion polls,By Channel NewsAsia #39;s Indonesia Bureau Chief Haseenah Koyakutty. JAKARTA : Former army general Susilo Bambang Yudhoyono is being tipped to win next Monday #39;s Indonesian presidential election by a handsome margin.
3,"When Spitzer Speaks, Insurers Take Note",A financial industry that had grown comfortable with its regulators is reeling after the New York state attorney general filed charges of wrongdoing and denounced practices that the industry - and its regulators - had viewed as acceptable.
3,Daimler Nets \$900 Mln Via Hyundai Sale," LONDON/FRANKFURT (Reuters) - DaimlerChrysler said it raised  more than \$900 million by selling its 10.5 percent stake in  Hyundai Motor Co. Ltd. on Monday, a remnant of its dented  ambitions to build a global carmaking empire."
2,Garnett does it all for Timberwolves,"Kevin Garnett had 25 points, 21 rebounds and eight assists to pace the Minnesota Timberwolves to a 108-97 victory Tuesday against the visiting Miami Heat."
3,US Trade Body Confirms Free-Trade Ruling on Lumber (Update2),US duties of 27 percent on \$4.6 billion of Canadian lumber shipments may soon fall after the Washington-based International Trade Commission concurred with a trade panel #39;s ruling that the levies were baseless.
3,Newsday Replaces Top Editor," NEW YORK (Reuters) - Tribune Co.'s &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TRB.N target=/stocks/quickinfo/fullquote""&gt;TRB.N&lt;/A&gt; Newsday  newspaper, which got a new publisher in July after a  circulation scandal, on Tuesday replaced its top editor, Howard  Schneider, who was in the job for about a year."
4,Grid Project Puts Unused PCs To Good Works,IBM and several of the world #39;s leading scientific and philanthropic groups Tuesday launched a project that would put millions of PCs to work on research problems ranging from Alzheimer #39;s to disaster forecasting.
1,UN envoy headed to Darfur,"A UN envoy to Sudan will visit Darfur tomorrow to check on the government #39;s claim that some 70,000 people displaced by conflict there have voluntarily returned to their homes, a spokesman said."
2,Radcliffe hopes to run in Beijing,"Marathon world record holder Paula Radcliffe, undaunted by her disastrous showing at the Athens Olympics, hopes to run in Beijing in four years and possibly even at the 2012 Games."
1,Depleted Sri Lanka too strong for South Africa (AFP),AFP - Kumar Sangakkara and Avishka Gunawardene slammed impressive half-centuries to help an under-strength Sri Lanka crush South Africa by seven wickets in the fourth one-day international here.
2,Yanks and Baseball Meet as Report Ties Giambi to Steroids,The Yankees may try to take action against Jason Giambi in the wake of a damaging report that he illegally used steroids.
2,Frank signs four-year extension with Nets,"New Jersey Nets coach Lawrence Frank was given a four-year, \$10 million contract extension, the team announced Thursday. The deal was made public about 12 hours after the Nets suffered "
2,NL notables,Larry Walker was 3 for 4 and is 10 for 27 (.370) with 11 RBIs since joining the Cardinals.
4,Telecom Unveils New Mobile Phone Service,"New Zealand #39;s biggest listed company, Telecom, launched its new high-speed  quot;third-generation quot; - or 3G - mobile phone system service Tuesday, promising users high-speed data transfer to their handsets."
2,Julio Files Appeal,Orioles pitcher Jorge Julio receives a four-game suspension from Major League Baseball on Friday for throwing a pitch that nearly hit Minnesota's Augie Ojeda in the head.
3,Stocks Rise on Falling Oil Prices,Investors rallied around falling oil prices as a possible sign that the summer's run on crude oil futures was over.
2,Doug Fischer,I had to bust this Wednesday Mail Bag out. We #39;ve got great matchups coming our way this weekend with Trinidad-Mayorga and Phillips-Ouma but the Monday Mail Bag was understandably dominated by Roy Jones emails.
2,"NHL's Hall, Connolly Head to Europe (AP)","AP - Nashville Predators right wing Adam Hall and Buffalo Sabres center Tim Connolly signed with European teams, making it 200 NHL players who have headed overseas during the lockout."
4,Nokia taps Coke exec to refresh brands,Nokia is bringing in a Coca-Cola executive to take over brand management as part of its plan for regaining market share. 
4,Horseflies and Meteors,"Like bugs streaking colorfully down the side window of a moving car, Earthgrazing Perseid meteors could put on a pleasing show after sunset on August 11th."
1,Ancient tomb discovered on Giza pyramids site,"Egypt #39;s antiquities chief on Thursday revealed a 2,500-year-old hidden tomb under the shadow of one of Giza #39;s three giant pyramids, containing 400 pinkie-finger-sized statues and six coffin-sized niches carved into granite rock."
4,NASA Infrared Images May Provide Volcano Clues,NASA -- NASA scientists took infrared (IR) digital images of Mount Saint Helens' last week. The images revealed signs of heat below the surface one day before the volcano erupted last Friday in southern Washington...
2,Greek comes from nowhere to win women #39;s hurdles,"To the roar of an adoring home crowd, Fani Halkia completed her unexpected romp through the Olympics on Wednesday with a victory in the women #39;s 400-meter hurdles."
4,"No Regrets, Says Departing NASA Boss (AP)","AP - NASA's departing boss, Sean O'Keefe, said Friday he does not regret canceling the last shuttle mission to the Hubble Space Telescope  #151; or anything else during his three years on the job."
1,Israel kills senior Hamas militant,"Hamas has vowed to hit back hard for Israel #39;s assassination of the  quot;Father of the Qassam quot; rocket, a weapon symbolising Palestinian militants #39; defiance of Prime Minister Ariel Sharon and his plan to quit Gaza."
2,United Loses Nelsen,"Ryan Nelsen, the defensive force behind D.C. United's MLS championship run this season, will not return to the club."
4,Businesses keep Q3 PC growth on track,"PC shipments have started to ease off, as expected, but the worldwide PC market remained fairly strong in the third quarter, according to research from IDC and Gartner Inc. released Monday."
3,DirecTV Reorganizes Latin American Satellite Business (Update4),"Rupert Murdoch #39;s DirecTV Group Inc. will pay \$579 million to consolidate its Latin American operations with other Murdoch-controlled satellite-television businesses in Brazil, Mexico, Colombia and Chile."
3,Jobless Claims Rise Amid Hurricanes #39; Impact,"The Labor Department said Thursday that claims, reflecting the impact of hurricanes in Florida, increased by a seasonally adjusted 14,000, to 350,000."
3,QLT #39;s stock falls as US.panel reviews rival drug,"Shares of QLT Inc. (QLT.TO: Quote, Profile, Research) (QLTI.O: Quote, Profile, Research) dropped 8 percent on Friday as investors waited for the outcome of a review of a rival drug "
4,Bird species showing decline,A report released recently by the National Audubon Society indicates a number of bird species are decreasing in number all over the country.
2,Lawyer says sprinter did not know about test,"Athens -- Greek sprinter Costas Kederis did not know he was expected for a doping test, his lawyer said after the disgraced athlete testified to a public prosecutor probing the scandal that rocked Greece on the eve of the Olympics."
3,Citigroup Profit Rises 13 Percent,"The \$1.02 per share reported was in line with estimates, as growth in consumer businesses offset declining stock and bond market revenue."
1,Iran #39;s president slams nuke plan,"IRANIAN President Mohammad Khatami has criticised an International Atomic Energy Agency resolution on its nuclear activities drawn up by Britain, France and Germany."
2,Editor #39;s note: Our scouts roll back the tape on Week 5 in the NFL:,Michael Vick continues to look very uncomfortable in the West Coast offense. He is not natural in his movements and is trying to be the  quot;perfect quot; quarterback.
4,AOL #39;s new brand campaign in the US,MUMBAI:  quot;Want a better Internet? quot; That #39;s the question America Online is asking in a new brand campaign in the US. The new ad campaign is intended to reposition America Online as the service that is truly on the side of the online consumer.
3,Ex-Enron Official Details Merrill Lynch Deal,"HOUSTON, Oct. 7 -- The government prepared Thursday to rest its fraud and conspiracy case against four former Merrill Lynch   Co. executives and two former mid-level Enron Corp. executives, following testimony from a key Enron executive that a barge sale was a sham designed to inflate profits."
